idSurvey,id_responsavel,data,nota,textDescricao
319123057566466738594578772377880232887,319120681038503960719604138216098366391,2022-06-02,4,['Como você responsável avalia o nosso sistema de ensino?']
319123057645694901108298174416512353207,319120681038503960719604138216098366391,2022-06-06,5,['Como você responsável avalia o nosso sistema de ensino?']
319478791461558647868873415246603355063,319476442901137237531686368450936308663,2022-04-26,5,['Como você responsável avalia o nosso sistema de ensino?']
319478791540786810382898499109943247799,319476442901137237531686368450936308663,2022-02-21,4,['Como você responsável avalia o nosso sistema de ensino?']
320199767819666615858539015415160636343,320197391608616488040618635402810753975,2022-03-20,5,['Como você responsável avalia o nosso sistema de ensino?']
320199767898894778372828967231585256375,320197391608616488040618635402810753975,2022-07-26,5,['Como você responsável avalia o nosso sistema de ensino?']
320573725380559243646060903661939458999,320571347584945865543816416199061013431,2022-05-13,5,['Como você responsável avalia o nosso sistema de ensino?']
320573725459787406159601850565337023415,320571347584945865543816416199061013431,2022-05-01,4,['Como você responsável avalia o nosso sistema de ensino?']
320573725539015568672917054537412641719,320571347584945865543816416199061013431,2022-07-29,5,['Como você responsável avalia o nosso sistema de ensino?']
321264594957683628670200866082040054711,321262220885793888735231666426241876919,2022-08-06,4,['Como você responsável avalia o nosso sistema de ensino?']
321264595036911791183587283223223468983,321262220885793888735231666426241876919,2022-04-10,3,['Como você responsável avalia o nosso sistema de ensino?']
321265387397765096338545944153148359607,321262220885793888735231666426241876919,2022-07-22,5,['Como você responsável avalia o nosso sistema de ensino?']
321673410691693982366353272814866531255,321671033688362229404426896504820859831,2022-02-28,1,['Como você responsável avalia o nosso sistema de ensino?']
321673410770922144880256478013290709943,321671033688362229404426896504820859831,2022-05-09,5,['Como você responsável avalia o nosso sistema de ensino?']
322277922363959444404167448971635327927,322275544647574228817381597428484146103,2022-07-02,5,['Como você responsável avalia o nosso sistema de ensino?']
322277922443187606918223776557390103479,322275544647574228817381597428484146103,2022-02-25,5,['Como você responsável avalia o nosso sistema de ensino?']
322277922522415769432904134166512403383,322275544647574228817381597428484146103,2022-07-31,4,['Como você responsável avalia o nosso sistema de ensino?']
322904617604816250400311780489057010615,322901452281267480509007160002100855735,2022-04-27,5,['Como você responsável avalia o nosso sistema de ensino?']
322905442290759861378152228034040824759,322901452281267480509007160002100855735,2022-03-18,5,['Como você responsável avalia o nosso sistema de ensino?']
323379998464126213563100183673186812855,323377608863516620837028484668260090807,2022-03-06,5,['Como você responsável avalia o nosso sistema de ensino?']
323380777990017191409167635739180270519,323377608863516620837028484668260090807,2022-08-05,4,['Como você responsável avalia o nosso sistema de ensino?']
323819712785376317782075556823465984951,323817325403155275454056200874395698103,2022-03-16,5,['Como você responsável avalia o nosso sistema de ensino?']
323819712864604480297876747789850117047,323817325403155275454056200874395698103,2022-08-06,4,['Como você responsável avalia o nosso sistema de ensino?']
323819712943832642812295052195654796215,323817325403155275454056200874395698103,2022-06-07,5,['Como você responsável avalia o nosso sistema de ensino?']
324191281934081790554296068982811394999,324188904613837387538752529463947559863,2022-05-18,5,['Como você responsável avalia o nosso sistema de ensino?']
324191282013309953070996853974762783671,324188904613837387538752529463947559863,2022-06-23,4,['Como você responsável avalia o nosso sistema de ensino?']
324862344232893121951167227016100709303,324859971666338469795459495680935199671,2022-06-18,5,['Como você responsável avalia o nosso sistema de ensino?']
324862344312121284468813204979846480823,324859971666338469795459495680935199671,2022-05-02,5,['Como você responsável avalia o nosso sistema de ensino?']
324862344391349446979940222482973459383,324859971666338469795459495680935199671,2022-05-09,5,['Como você responsável avalia o nosso sistema de ensino?']
325179256803722016787107335812944233399,325176879800390263830038936125947773879,2022-07-09,5,['Como você responsável avalia o nosso sistema de ensino?']
325179256882950179305029440728843158455,325176879800390263830038936125947773879,2022-03-31,5,['Como você responsável avalia o nosso sistema de ensino?']
325695032300146202654582294841412289463,325693447895352242399471649441959904183,2022-08-04,5,['Como você responsável avalia o nosso sistema de ensino?']
325695824423315020269645446400964821943,325693447895352242399471649441959904183,2022-06-10,5,['Como você responsável avalia o nosso sistema de ensino?']
325695824502543182784872428414859215799,325693447895352242399471649441959904183,2022-05-31,5,['Como você responsável avalia o nosso sistema de ensino?']
326272609487055152874156049059067200439,326270231295300962200926236225638237111,2022-06-10,5,['Como você responsável avalia o nosso sistema de ensino?']
326272609566283315391826796820763509687,326270231295300962200926236225638237111,2022-04-27,5,['Como você responsável avalia o nosso sistema de ensino?']
326669539729037766692222523137895695287,326667165974060676818300863126123578295,2022-07-22,5,['Como você responsável avalia o nosso sistema de ensino?']
326670332010662909334633562357234926519,326667165974060676818300863126123578295,2022-07-10,5,['Como você responsável avalia o nosso sistema de ensino?']
326670332089891071850780686069996454839,326667165974060676818300863126123578295,2022-04-01,5,['Como você responsável avalia o nosso sistema de ensino?']
327356446709614000786587349368820728759,327353279088448517982361721457466409911,2022-03-22,5,['Como você responsável avalia o nosso sistema de ensino?']
327356446788842163302287490818565735351,327353279088448517982361721457466409911,2022-07-21,5,['Como você responsável avalia o nosso sistema de ensino?']
327356446868070325816994870025452258231,327353279088448517982361721457466409911,2022-04-14,5,['Como você responsável avalia o nosso sistema de ensino?']
