idPagamento,idAluno,DataPag,status
319124641178979073711481524524899632055,319117509931299327290553680231638762423,2022-05-27,Quitado
319129402316177205910060321888933249975,319117509931299327290553680231638762423,2022-07-07,Quitado
319131773218940445273186284183031645111,319117509931299327290553680231638762423,2022-05-01,Quitado
319133357782190730556689370880843973559,319117509931299327290553680231638762423,2022-07-30,Quitado
319135733834784533344616561402280412087,319117509931299327290553680231638762423,2022-06-05,Quitado
319479583822411953027334187836762227639,319470870467554959265676434797668598711,2022-04-02,Quitado
319481168147977750771884987811159606199,319470870467554959265676434797668598711,2022-03-17,Quitado
319483547607382541671364588630085731255,319470870467554959265676434797668598711,2022-08-08,Quitado
319485929047491395428774717253220565943,319470870467554959265676434797668598711,2022-08-02,Quitado
319489093024161402577565613926583108535,319470870467554959265676434797668598711,2022-06-04,Quitado
320200567627967197357250794847824249783,320194221689834292325592914016573064119,2022-07-07,Quitado
320202144426857556244687954876156871607,320194221689834292325592914016573064119,2022-07-07,Quitado
320203728831651516501128569540567106487,320194221689834292325592914016573064119,2022-07-23,Quitado
320205313949498939387325479607918134199,320194221689834292325592914016573064119,2022-05-01,Quitado
320206897641239437019235663286997615543,320194221689834292325592914016573064119,2022-06-08,Quitado
320574535567749114513020072205371048887,320567389742087465469821033779183223735,2022-07-08,Quitado
320576101670837533974523677650788287415,320567389742087465469821033779183223735,2022-03-26,Quitado
320577686313315981775782236078286832567,320567389742087465469821033779183223735,2022-04-28,Quitado
320579271351935242146468437355219125175,320567389742087465469821033779183223735,2022-03-26,Quitado
320581647325300882422709882544757932983,320567389742087465469821033779183223735,2022-06-07,Quitado
321266972198699869169013784261421171639,321258272233402340315912674181367727031,2022-08-06,Quitado
321268574509058557653261164055303029687,321258272233402340315912674181367727031,2022-06-07,Quitado
321270140691375139629519717978670891959,321258272233402340315912674181367727031,2022-07-15,Quitado
321271725175397262401297089897892676535,321258272233402340315912674181367727031,2022-03-30,Quitado
321273309263278572601016998260273054647,321258272233402340315912674181367727031,2022-05-08,Quitado
