idAtividade,idAluno,Tipo,Data,Nota
102476025249980337922491610628405267672,27037265713557305866754126047044388870,Trabalho de casa,2022-08-03,62
127437113970070923878885062678612006308,27037265713557305866754126047044388870,Prova,2022-08-03,59
240201903590029935212482864498811415679,287156331948098021629761516684910593346,Laboratorial,2022-08-03,65
234232101736647634506008980307392468833,134307096784280970675781177283814318226,Trabalho em grupo,2022-08-03,49
307703611209825698327402733314423111558,134307096784280970675781177283814318226,Prova,2022-08-03,93
65250257394466186763336315725321594047,134307096784280970675781177283814318226,Esportiva,2022-08-03,68
251131238860592105794807965356786484962,134307096784280970675781177283814318226,Prova,2022-08-03,76
94804971683546320226509235900946510552,290680467326761938922714804981550800937,Esportiva,2022-08-03,65
285433863172267436508184222225162720843,237806286559818220964745037086870903619,Esportiva,2022-08-03,92
67990177444794657017246255100829841592,237806286559818220964745037086870903619,Trabalho de casa,2022-08-03,97
157017667718568540017444045951686148498,237806286559818220964745037086870903619,Trabalho em grupo,2022-08-03,66
130076905501048129008885734892104281839,237806286559818220964745037086870903619,Prova,2022-08-03,98
328552387336887585478206545229938785872,163829591551197964759840108075756659249,Prova,2022-08-03,83
317770898416862498142863214959614773378,163829591551197964759840108075756659249,Trabalho em grupo,2022-08-03,75
42833251306826198904288301281369488414,163829591551197964759840108075756659249,Trabalho em grupo,2022-08-03,96
195768921026254260677659648072926397437,163829591551197964759840108075756659249,Laboratorial,2022-08-03,95
327626341582987741639399589735281892880,163829591551197964759840108075756659249,Prova,2022-08-03,96
13135257035991916422004962880825668159,262582503235649941108069014649521393929,Trabalho em grupo,2022-08-03,65
24278392827810484800693930516092897050,262582503235649941108069014649521393929,Esportiva,2022-08-03,89
290802262007030179024400737818958410243,262582503235649941108069014649521393929,Trabalho de casa,2022-08-03,70
198941881819266970404364279980336200022,262582503235649941108069014649521393929,Esportiva,2022-08-03,83
75694317798186260183098835203625089547,26368595689507939029013060050931612714,Laboratorial,2022-08-03,59
225677017541689691454027302124707932123,26368595689507939029013060050931612714,Esportiva,2022-08-03,48
187266286240253230136996189007283593959,26368595689507939029013060050931612714,Laboratorial,2022-08-03,57
265662973152389723469197862375234981328,26368595689507939029013060050931612714,Prova,2022-08-03,67
263445556183604818367365571673938181653,26368595689507939029013060050931612714,Prova,2022-08-03,60
51303949881617625814942046832763056204,251093644865505567610146817835799951922,Prova,2022-08-03,42
193353911210401059101141830280091995992,251093644865505567610146817835799951922,Trabalho em grupo,2022-08-03,42
154244966956653682568121209618221936862,251093644865505567610146817835799951922,Esportiva,2022-08-03,79
305769530903393860986686967574236030208,251093644865505567610146817835799951922,Prova,2022-08-03,47
113879980788067001490006637194260432621,301698758069891198367943271540500018196,Trabalho de casa,2022-08-03,54
242820701679158437306511522439891151151,301698758069891198367943271540500018196,Prova,2022-08-03,44
167652589548969920672596074361834706417,301698758069891198367943271540500018196,Trabalho em grupo,2022-08-03,71
211553260190042329635461726776957733743,301698758069891198367943271540500018196,Esportiva,2022-08-03,62
277701669808038942065338886785658409887,301698758069891198367943271540500018196,Esportiva,2022-08-03,67
146092890572341961460657889316884655022,201206820289989285751233230156486892782,Trabalho em grupo,2022-08-03,63
268047917855324876373078468392377740303,117770087631819597198029501530027490251,Trabalho de casa,2022-08-03,85
37145150438026670280307981703171337314,117770087631819597198029501530027490251,Esportiva,2022-08-03,86
323048743878112561849801075087030119991,53038649583077322766521146309155573557,Prova,2022-08-03,43
276104861097569629365807737577215689660,53038649583077322766521146309155573557,Esportiva,2022-08-03,77
115231384537650576210780022686702261850,53038649583077322766521146309155573557,Trabalho em grupo,2022-08-03,61
252815385201625544070383171981732406866,199500160619852831049667359581758516739,Esportiva,2022-08-03,56
241258491696313675409657094246371694307,199500160619852831049667359581758516739,Prova,2022-08-03,54
106014815700093033165175861058990084968,199500160619852831049667359581758516739,Prova,2022-08-03,63
307179035871743539269254483970754185077,199500160619852831049667359581758516739,Prova,2022-08-03,78
37112866048620411715131943057465713232,199500160619852831049667359581758516739,Trabalho em grupo,2022-08-03,45
125399693823441286649081549196701485729,61971172106279391213889068958244772633,Laboratorial,2022-08-03,92
19769619720435519216211819064012719458,61971172106279391213889068958244772633,Esportiva,2022-08-03,50
196688678399541579731947109133462431200,61971172106279391213889068958244772633,Prova,2022-08-03,44
260948792371217240473201647721967539352,61971172106279391213889068958244772633,Esportiva,2022-08-03,75
281226579665673077717488507970412416109,61971172106279391213889068958244772633,Trabalho em grupo,2022-08-03,47
206023754578294475203962238477689514373,61971172106279391213889068958244772633,Esportiva,2022-08-03,47
24985112246507541836823067049455904355,279403617644652127120959332702533471966,Trabalho em grupo,2022-08-03,57
144723745083173023149898044275403520189,279403617644652127120959332702533471966,Trabalho de casa,2022-08-03,82
85112005332317918299669979518726741508,279403617644652127120959332702533471966,Trabalho em grupo,2022-08-03,84
64387134093743054680859759850971478814,301507587120689494707035034511923406020,Trabalho de casa,2022-08-03,82
106409411337925466512784434125020996005,301507587120689494707035034511923406020,Trabalho de casa,2022-08-03,72
232059382252692382094309037150842099685,301507587120689494707035034511923406020,Esportiva,2022-08-03,68
42596490352756502700286621909251264136,301507587120689494707035034511923406020,Esportiva,2022-08-03,75
198133641050831218419351398709478586468,301507587120689494707035034511923406020,Prova,2022-08-03,58
201712520902690953509062094472835694383,301507587120689494707035034511923406020,Prova,2022-08-03,45
135987233303711140799925551939007559932,286719589961769300505599538417679711912,Prova,2022-08-03,66
95649937595120096085414874611675071042,212392505519370632722183082985161551499,Trabalho em grupo,2022-08-03,88
176837851587942002503826197691987716051,281442929394605503603653411085311943050,Trabalho em grupo,2022-08-03,93
317060871845152524821975716645463398875,281442929394605503603653411085311943050,Laboratorial,2022-08-03,63
98780426497359627400355169461658462824,281442929394605503603653411085311943050,Trabalho em grupo,2022-08-03,51
72573855797420365091347928758772159955,91501646832416728821101741273857853509,Trabalho de casa,2022-08-03,47
153520975487748672650376396177693999633,177541773665206218050341548549923579912,Laboratorial,2022-08-03,54
22584384395418468529662152357660391386,30607255133920631080552518806239042703,Laboratorial,2022-08-03,90
212315865157941776496199049138401337152,30607255133920631080552518806239042703,Prova,2022-08-03,91
66273133932201527313374322431610785254,30607255133920631080552518806239042703,Trabalho de casa,2022-08-03,78
214684041283870240041131015787610675027,30607255133920631080552518806239042703,Trabalho em grupo,2022-08-03,89
164260085195011671440677585798085815063,30607255133920631080552518806239042703,Prova,2022-08-03,53
316351385445520082533761761643098964602,30607255133920631080552518806239042703,Prova,2022-08-03,46
152466032590150158814194695774034999806,191814561632795558346984214358660121595,Laboratorial,2022-08-03,100
128213057433473721938069977534066010908,191814561632795558346984214358660121595,Prova,2022-08-03,66
64860797527119121467780937967539200468,191814561632795558346984214358660121595,Trabalho em grupo,2022-08-03,75
291474866644301361771213172535332713629,191814561632795558346984214358660121595,Laboratorial,2022-08-03,75
111431996279047547091942463788233406490,191814561632795558346984214358660121595,Esportiva,2022-08-03,40
266270020931406478466466206144865101243,191814561632795558346984214358660121595,Esportiva,2022-08-03,79
178184782925243630990700074663683853365,114359697725785469296274470835281501985,Prova,2022-08-03,75
270978291210253579743091665026533003192,114359697725785469296274470835281501985,Trabalho de casa,2022-08-03,54
303471263272284316657411288780126935738,114359697725785469296274470835281501985,Trabalho em grupo,2022-08-03,86
64789460803777788352220062665074461499,114359697725785469296274470835281501985,Prova,2022-08-03,100
234432982417426786111490408940620640195,114359697725785469296274470835281501985,Prova,2022-08-03,80
163278746351714099074673702914901299885,247977055074586454547260151090142419536,Prova,2022-08-03,84
39557377756619774777153274070375662445,247977055074586454547260151090142419536,Laboratorial,2022-08-03,79
38229703590463491664172489612774959779,247977055074586454547260151090142419536,Esportiva,2022-08-03,54
44323169157435891596147965934331544852,247977055074586454547260151090142419536,Trabalho em grupo,2022-08-03,98
284606619462675374620390919232857148498,263095889399138844431209266382581601738,Esportiva,2022-08-03,65
121947620629044520712264602536912488631,232789468398806328616437191722522213459,Prova,2022-08-03,62
149115383444200417568936184821120333545,232789468398806328616437191722522213459,Trabalho de casa,2022-08-03,88
276969662005010081388558904844663419010,232789468398806328616437191722522213459,Trabalho de casa,2022-08-03,72
58171451883794700412965262764944692837,232789468398806328616437191722522213459,Esportiva,2022-08-03,79
82089328963180035518036076354262833973,232789468398806328616437191722522213459,Laboratorial,2022-08-03,93
18652859131418707299141906113922285266,67001710249027788188220293356628723771,Trabalho de casa,2022-08-03,68
135473039553702619904239598809518244836,67001710249027788188220293356628723771,Esportiva,2022-08-03,83
272446746963786068906715327622471612205,67001710249027788188220293356628723771,Trabalho em grupo,2022-08-03,96
312345285405209307408133342305707032573,67001710249027788188220293356628723771,Prova,2022-08-03,86
52281960816553680429450997962132559878,67001710249027788188220293356628723771,Trabalho em grupo,2022-08-03,65
3917955323680293764378756622197974632,45862678538286309950549208645433187716,Trabalho de casa,2022-08-03,67
326231896759391205608907054254032889109,275592957281355824925617585585022754757,Trabalho de casa,2022-08-03,65
243321204442747438111766602107755699708,275592957281355824925617585585022754757,Esportiva,2022-08-03,57
234035137966169318813850296838380805432,275592957281355824925617585585022754757,Prova,2022-08-03,85
130457576066527364144579640184515734841,11277304257851274451936969563501857098,Prova,2022-08-03,95
269296478845317621493018722387189795708,11277304257851274451936969563501857098,Esportiva,2022-08-03,72
238101982872135606858706055440833353,11277304257851274451936969563501857098,Prova,2022-08-03,85
272137376850212954778541971289367143757,11277304257851274451936969563501857098,Trabalho de casa,2022-08-03,96
141746884702958097652849364989636986338,11277304257851274451936969563501857098,Prova,2022-08-03,75
304127733575998312792753158954931502094,22596107836524097838304558402556422723,Laboratorial,2022-08-03,91
220804442856200935370646082915695294739,22596107836524097838304558402556422723,Trabalho de casa,2022-08-03,95
153612496615028653387556392493484702519,22596107836524097838304558402556422723,Trabalho de casa,2022-08-03,63
199361568185773468833986385799071158461,22596107836524097838304558402556422723,Trabalho de casa,2022-08-03,73
