idOcorrencia,idAluno,Area,Tipo
216278101116256014125552408974792182570,27037265713557305866754126047044388870,Quadra de Esportes,Moderada
305686615264486061169360323028730926615,27037265713557305866754126047044388870,Quadra de Esportes,Notificação
27741698422667312161625614201300728367,27037265713557305866754126047044388870,Pátio,Grave
17202330524690706583839367903074071509,27037265713557305866754126047044388870,Laboratório,Leve
103391101080452009312802983092746335167,27037265713557305866754126047044388870,Sala de aula,Leve
131662039543439573447717071532840368694,27037265713557305866754126047044388870,Sala de aula,Moderada
338010012312184605210792977513788045755,27037265713557305866754126047044388870,Quadra de Esportes,Moderada
321430896799175851907870310460973987711,27037265713557305866754126047044388870,Quadra de Esportes,Notificação
289753875692218641612339013068906129172,27037265713557305866754126047044388870,Quadra de Esportes,Moderada
189005476034284799281830352460999689111,27037265713557305866754126047044388870,Laboratório,Leve
323641064292999704902061923988003355458,287156331948098021629761516684910593346,Banheiros,Notificação
184178901622722363743080764119096038421,287156331948098021629761516684910593346,Biblioteca,Leve
149408125335754905317888512731678817520,287156331948098021629761516684910593346,Sala de aula,Notificação
174058711419026822021590657723082569278,287156331948098021629761516684910593346,Sala de aula,Notificação
339587691062778337147308156461827487098,287156331948098021629761516684910593346,Cantina,Leve
224637461754481427535610455944450067071,287156331948098021629761516684910593346,Banheiros,Grave
300577395829446300458416089694329851939,287156331948098021629761516684910593346,Banheiros,Notificação
73630614342060407118637986310876364356,287156331948098021629761516684910593346,Pátio,Moderada
282660895889634290988389413916691221954,287156331948098021629761516684910593346,Banheiros,Moderada
212898939142470255137448312344853455400,287156331948098021629761516684910593346,Biblioteca,Moderada
234490394194765804878215050214383243787,134307096784280970675781177283814318226,Laboratório,Moderada
254736694888219711224073331859026864492,134307096784280970675781177283814318226,Laboratório,Moderada
170024285866303796203632560167750473197,134307096784280970675781177283814318226,Laboratório,Moderada
36810536119374198253918020068371464298,134307096784280970675781177283814318226,Laboratório,Notificação
292127192848429413044634861668778522957,134307096784280970675781177283814318226,Laboratório,Moderada
180246299951947030199086726427368635220,134307096784280970675781177283814318226,Quadra de Esportes,Moderada
233221071735216843819126582481429641268,134307096784280970675781177283814318226,Pátio,Notificação
22512323599082790810219408189733051738,134307096784280970675781177283814318226,Sala de aula,Moderada
269813051529654562840697559549514267907,134307096784280970675781177283814318226,Biblioteca,Notificação
30925139746107599370362257521379394600,134307096784280970675781177283814318226,Cantina,Leve
339137295128995288224467254987683391019,290680467326761938922714804981550800937,Quadra de Esportes,Notificação
181939237013068271758758081008057193143,290680467326761938922714804981550800937,Banheiros,Grave
272922528231635532780672423277173676891,290680467326761938922714804981550800937,Pátio,Grave
86650616598129487074845386238116639619,290680467326761938922714804981550800937,Cantina,Notificação
134874144606186882249494929211673802491,290680467326761938922714804981550800937,Laboratório,Moderada
32710532815641574779576026715232552476,290680467326761938922714804981550800937,Pátio,Grave
218235304309219154222580256335408850433,290680467326761938922714804981550800937,Laboratório,Notificação
232786419857749197994254519292070502299,290680467326761938922714804981550800937,Laboratório,Notificação
214162962593034327748528938830444847677,290680467326761938922714804981550800937,Sala de aula,Leve
225895613135372584155725553816022842630,290680467326761938922714804981550800937,Laboratório,Grave
32062710582307139390555814972437131507,237806286559818220964745037086870903619,Sala de aula,Notificação
255208026998913955793040168750974301732,237806286559818220964745037086870903619,Sala de aula,Leve
221940166227140982340852254068237112581,237806286559818220964745037086870903619,Sala de aula,Leve
313795172751693871933717610732548030579,237806286559818220964745037086870903619,Banheiros,Leve
1357114939694418570651721153178859016,237806286559818220964745037086870903619,Pátio,Notificação
290835655136081818488306298199116351748,237806286559818220964745037086870903619,Laboratório,Notificação
62357137976192175690748453086925710505,237806286559818220964745037086870903619,Laboratório,Grave
187018250889567537084135730469192467966,237806286559818220964745037086870903619,Cantina,Grave
93416824559720449182689830883417764888,237806286559818220964745037086870903619,Sala de aula,Notificação
266736300957708777404610455531504902900,237806286559818220964745037086870903619,Biblioteca,Leve
241200859269937206260801720920005345694,163829591551197964759840108075756659249,Laboratório,Moderada
82286894348365532461365177729281347503,163829591551197964759840108075756659249,Quadra de Esportes,Moderada
266580682132639014264976668948562257753,163829591551197964759840108075756659249,Cantina,Leve
218522533904289941534488894482449610103,163829591551197964759840108075756659249,Quadra de Esportes,Grave
268806599282019706960213441493261524123,163829591551197964759840108075756659249,Laboratório,Leve
296518764764798686357374222286342938561,163829591551197964759840108075756659249,Laboratório,Grave
281752308188372351844498687364627027300,163829591551197964759840108075756659249,Cantina,Leve
153624753734569604940161168144968742933,163829591551197964759840108075756659249,Banheiros,Grave
324740907356894800197333471023760874872,163829591551197964759840108075756659249,Quadra de Esportes,Moderada
63083258076543891598332384371443111386,163829591551197964759840108075756659249,Banheiros,Notificação
85167487646775626257742112032449501927,262582503235649941108069014649521393929,Laboratório,Grave
320887574075074659747753838373817723635,262582503235649941108069014649521393929,Sala de aula,Grave
247300656230552681827151405159900825730,262582503235649941108069014649521393929,Laboratório,Leve
173393200460645023540041350870169610734,262582503235649941108069014649521393929,Quadra de Esportes,Grave
60122464827238800529271267766829249226,262582503235649941108069014649521393929,Biblioteca,Grave
245182912840592964618562252467792858952,262582503235649941108069014649521393929,Quadra de Esportes,Grave
300935138182527652580802251137067009749,262582503235649941108069014649521393929,Banheiros,Notificação
299292988864147852963647560279975896711,262582503235649941108069014649521393929,Biblioteca,Notificação
209266680390071855764009105637246243291,262582503235649941108069014649521393929,Banheiros,Notificação
309222702086366771524461251362290535158,262582503235649941108069014649521393929,Sala de aula,Notificação
16495083868776693795296146632969701103,26368595689507939029013060050931612714,Pátio,Notificação
175488032262949815614075002806536058954,26368595689507939029013060050931612714,Cantina,Moderada
160743499696596720812850451056082727860,26368595689507939029013060050931612714,Laboratório,Grave
235402944464316043645634343473497486754,26368595689507939029013060050931612714,Pátio,Grave
91066774667553293042668629250165355766,26368595689507939029013060050931612714,Laboratório,Notificação
28786464393061170246168898435417824121,26368595689507939029013060050931612714,Laboratório,Leve
24923460779485599105790484485686042734,26368595689507939029013060050931612714,Laboratório,Leve
26559958993803027111185817435763679557,26368595689507939029013060050931612714,Biblioteca,Notificação
213939735754304263553789552067673582561,26368595689507939029013060050931612714,Pátio,Grave
64682018147463947434974486013571177039,26368595689507939029013060050931612714,Biblioteca,Notificação
302359781287969714244446220036166192773,251093644865505567610146817835799951922,Sala de aula,Notificação
259859538100348726442072615767232417598,251093644865505567610146817835799951922,Cantina,Notificação
200133993922947105283102746444670662332,251093644865505567610146817835799951922,Sala de aula,Grave
112125969604173362293242576769707560871,251093644865505567610146817835799951922,Cantina,Leve
199945443820923267101456633801006838543,251093644865505567610146817835799951922,Sala de aula,Moderada
97668290791397374002866736110039090081,251093644865505567610146817835799951922,Biblioteca,Leve
39087810803473746252852800244779882504,251093644865505567610146817835799951922,Pátio,Moderada
241217316216064104814398179560171886414,251093644865505567610146817835799951922,Pátio,Notificação
105452531650387728681960688975633513176,251093644865505567610146817835799951922,Laboratório,Moderada
262226016824851617205127764454937135718,251093644865505567610146817835799951922,Laboratório,Grave
315549291056165100355958304244084353246,301698758069891198367943271540500018196,Sala de aula,Moderada
306246964844674349462106049844894638437,301698758069891198367943271540500018196,Sala de aula,Moderada
241596830597422839283103326127739599418,301698758069891198367943271540500018196,Sala de aula,Grave
316688409263383218750834327743129755569,301698758069891198367943271540500018196,Cantina,Grave
230542822911164530685353695891784648114,301698758069891198367943271540500018196,Cantina,Grave
1265046764161449474788146586840242636,301698758069891198367943271540500018196,Pátio,Grave
296309790619227863017521726574403906069,301698758069891198367943271540500018196,Sala de aula,Moderada
68688813877116664887255608793378294030,301698758069891198367943271540500018196,Banheiros,Grave
141032755341828844810467082281950270699,301698758069891198367943271540500018196,Pátio,Leve
86017077469656030906572255893151342803,301698758069891198367943271540500018196,Sala de aula,Leve
320810646083015468005384824717269156740,201206820289989285751233230156486892782,Cantina,Moderada
274120664760597644328698129969874411227,201206820289989285751233230156486892782,Quadra de Esportes,Leve
26899229405003575094588848193766129770,201206820289989285751233230156486892782,Pátio,Grave
225759932506576706305332671376015059134,201206820289989285751233230156486892782,Quadra de Esportes,Grave
55404672839963728246234849985529107427,201206820289989285751233230156486892782,Biblioteca,Leve
271675679985915920675880659041681919257,201206820289989285751233230156486892782,Banheiros,Leve
304538209183551553380878421306935132424,201206820289989285751233230156486892782,Cantina,Grave
102448612494034543021851218347162732250,201206820289989285751233230156486892782,Quadra de Esportes,Moderada
208765783984851205220399259900491467984,201206820289989285751233230156486892782,Quadra de Esportes,Leve
19579199253743463501449709990840552616,201206820289989285751233230156486892782,Biblioteca,Moderada
46950726581846257765252355744564055431,117770087631819597198029501530027490251,Cantina,Notificação
274067529364574057178689520703590871747,117770087631819597198029501530027490251,Pátio,Moderada
283227973193698806787415590097654144467,117770087631819597198029501530027490251,Banheiros,Notificação
13086845388311538106105689438786593346,117770087631819597198029501530027490251,Sala de aula,Leve
30383355188103012240617365551405752619,117770087631819597198029501530027490251,Laboratório,Moderada
326504090663729784775194733744300365790,117770087631819597198029501530027490251,Laboratório,Notificação
329537149493739740527333665994891533511,117770087631819597198029501530027490251,Sala de aula,Grave
18133981351493118667006265837677748409,117770087631819597198029501530027490251,Laboratório,Grave
181188368360586152676729703646659839832,117770087631819597198029501530027490251,Quadra de Esportes,Grave
287344971190996128670544133404443231213,117770087631819597198029501530027490251,Biblioteca,Moderada
182717310471361191599642976296487392130,53038649583077322766521146309155573557,Quadra de Esportes,Moderada
100562274400660802326344190423201399026,53038649583077322766521146309155573557,Biblioteca,Notificação
317962435420535741767781957498414808684,53038649583077322766521146309155573557,Banheiros,Moderada
23182220271418616529064820801502206279,53038649583077322766521146309155573557,Biblioteca,Leve
103190537024857253376023725413478894219,53038649583077322766521146309155573557,Biblioteca,Grave
282441787840722668359194651350953356909,53038649583077322766521146309155573557,Sala de aula,Moderada
200467357542970682695363291207881851377,53038649583077322766521146309155573557,Biblioteca,Moderada
339109995837733738294961185074929030703,53038649583077322766521146309155573557,Laboratório,Notificação
97074981882643707538436065578808152737,53038649583077322766521146309155573557,Biblioteca,Grave
268173792348497117698509720038204676167,53038649583077322766521146309155573557,Sala de aula,Grave
331044768845847109392180565717978792402,199500160619852831049667359581758516739,Biblioteca,Leve
276288109525861709315888295960701562466,199500160619852831049667359581758516739,Banheiros,Notificação
113983515956092387861042924949051108551,199500160619852831049667359581758516739,Quadra de Esportes,Notificação
29996636373046788073798601972919434265,199500160619852831049667359581758516739,Quadra de Esportes,Moderada
71539949112938931680522163908577720640,199500160619852831049667359581758516739,Banheiros,Notificação
217421309282233621138109152354585720852,199500160619852831049667359581758516739,Quadra de Esportes,Moderada
188970706258265456184747858909927657416,199500160619852831049667359581758516739,Cantina,Leve
167386572232298500707543930638224355760,199500160619852831049667359581758516739,Quadra de Esportes,Notificação
281134784208125245137018613549773249565,199500160619852831049667359581758516739,Banheiros,Moderada
