idFinanceiro,idAluno
196116934444844327959937008109086458450,27037265713557305866754126047044388870
331375130964525885093938528632229356047,27037265713557305866754126047044388870
151472015500028486141969829140059130229,27037265713557305866754126047044388870
273015112909003237714278898706286402163,27037265713557305866754126047044388870
227199605939010583833214294670118885147,287156331948098021629761516684910593346
165287409178486350709817550945029445187,287156331948098021629761516684910593346
120207607504027346708362595005576050402,287156331948098021629761516684910593346
258830618037901728864924318567097774411,287156331948098021629761516684910593346
148127961946132281670014998548801885951,134307096784280970675781177283814318226
330939116353043544002448624198757570056,134307096784280970675781177283814318226
195350925941843543845656271208081128837,134307096784280970675781177283814318226
122530852199157103263868300042558244320,134307096784280970675781177283814318226
185580448307213411608301814742346294144,290680467326761938922714804981550800937
41029304767531141770424432974387413737,290680467326761938922714804981550800937
326093638936262265990155561915905674775,290680467326761938922714804981550800937
135331255687251733857454031681015106191,290680467326761938922714804981550800937
41511468300789083561937802881470409439,237806286559818220964745037086870903619
154206455716417194256007712963302473430,237806286559818220964745037086870903619
310399494026854404684320663615017731489,237806286559818220964745037086870903619
166945011086774670079459329615510686330,237806286559818220964745037086870903619
297030549909009648466696522605145244208,163829591551197964759840108075756659249
283362336598261615439875257600716096120,163829591551197964759840108075756659249
180218111506208384840922232092661331163,163829591551197964759840108075756659249
225341337929468152681052379834639563196,163829591551197964759840108075756659249
220689190296476667883854904733765193355,262582503235649941108069014649521393929
37076576329523436063839378872713773376,262582503235649941108069014649521393929
144723643872530857102330749905886730744,262582503235649941108069014649521393929
183972132785319212079676183751549958943,262582503235649941108069014649521393929
56757627497358184075398386858758007617,26368595689507939029013060050931612714
113680001482591672315010724747411975081,26368595689507939029013060050931612714
67811908646522277290689419344373786376,26368595689507939029013060050931612714
260772402970317562308918455592922029057,26368595689507939029013060050931612714
313745790576653613010293910499356622076,251093644865505567610146817835799951922
206979357136327495950320239960609278632,251093644865505567610146817835799951922
271473475401021518307943269715814537102,251093644865505567610146817835799951922
152963481205564385741366229444846825950,251093644865505567610146817835799951922
173216525564564046223377442825831948792,301698758069891198367943271540500018196
139577169472348841305416496383551088254,301698758069891198367943271540500018196
124558730817410444706163139571215981671,301698758069891198367943271540500018196
197147093997172297294322297325983677237,301698758069891198367943271540500018196
296546590705722227231198736280187263860,201206820289989285751233230156486892782
181193425510833033596671597553232350609,201206820289989285751233230156486892782
221269470676672680075307575429155469524,201206820289989285751233230156486892782
104731608692519477937039884424853497713,201206820289989285751233230156486892782
98660094459605744352744672315517953306,117770087631819597198029501530027490251
136641099374864210526882680329110077935,117770087631819597198029501530027490251
